Produced Item Name,Crafting WorkBench,Qty Made,Perks Needed,Proximity (When None),Items Required,Additional Requirements
Iron Quality Cuirass,Forge,1,Craftsmanship,Forge,1 Pelt: Cow 4 Ingot: Iron 2 Ingot: Corundum 4 Leather Strips 2 Leather,
Iron Quality Cuirass,Forge,1,Craftsmanship,Forge,4 Ingot: Iron 2 Ingot: Corundum 4 Leather Strips 2 Leather,
Iron Quality Gauntlets,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 1 Ingot: Corundum 2 Leather Strips 1 Leather,
Iron Quality Gauntlets,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Iron,
Iron Quality Gauntlets,Forge,1,Craftsmanship,Forge,1 Pelt: Cow 2 Ingot: Iron 1 Ingot: Corundum 2 Leather Strips 1 Leather,
Iron Quality Gauntlets,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 1 Ingot: Corundum 2 Leather Strips 2 Fur Plate,
Iron Quality Helmet,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 1 Ingot: Corundum 1 Leather Strips 1 Leather 1 Goat Horns,
Iron Quality Helmet,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Iron,
Iron Quality Shield,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Iron,
Iron Quality Shield,Forge,1,Craftsmanship,Forge,4 Ingot: Iron 1 Ingot: Corundum 2 Wood 2 Leather Strips,
Iron Reinforced Armor (Engraved),Forge,1,Craftsmanship,Forge,1 Iron Banded Cuirass,
Iron Robed Cuirass - Dark,Forge,1,"Craftsmanship,Craftsmanship",Forge,3 Ingot: Iron 3 Linen Cloth - Black 4 Linen Thread,
Iron Robed Cuirass - Pale,Forge,1,Craftsmanship,Forge,3 Ingot: Iron 4 Linen Thread 3 Linen Cloth,
Iron Shiv,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Iron Sword,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 1 Leather Strips,
Iron Sword,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Iron Tongs,Forge,1,Craftsmanship,Forge,1 Ingot: Iron,
Iron War Axe,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Iron War Axe,Forge,1,Craftsmanship,Forge,2 Ingot: Iron 1 Wood 2 Leather Strips,
Iron Warhammer,Forge,1,Craftsmanship,Forge,5 Ingot: Iron 2 Wood 3 Leather Strips,
Iron Warhammer,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Iron Woodcutter's Axe,Forge,1,Craftsmanship,Forge,1 Ingot: Iron 1 Wood,
Iron Woodcutter's Axe,Forge,1,Craftsmanship,Forge,1 Ingot: Iron 2 Deadwood,
Ironhand Gauntlets,Armor Table,1,Craftsmanship,Armor Table,1 Ingot: Steel,
Ivory Battleaxe (Crude),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 1 Leather 3 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Battleaxe (Good),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 1 Leather 3 Polished Ivory 2 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Battleaxe (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 1 Leather 1 Bonesap 3 Polished Ivory 2 Fragment: Ivory,Forage Skill Greater or Equal to 8
Ivory Candlestick,Player Crafting,1,,Player Crafting,1 Polished Ivory,Forage Skill Greater or Equal to 1
Ivory Dagger (Crude),Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Strips 1 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Dagger (Good),Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Strips 1 Polished Ivory 1 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Dagger (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Strips 1 Bonesap 1 Polished Ivory 1 Fragment: Ivory,Forage Skill Greater or Equal to 8
Ivory Dragon Claw Replica,Player Crafting,1,,Player Crafting,3 Polished Ivory,Forage Skill Greater or Equal to 3
Ivory Greatsword (Crude),Player Crafting,1,Craftsmanship,Player Crafting,1 Mammoth Tusk 4 Leather Strips 3 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Greatsword (Crude),Player Crafting,1,Craftsmanship,Player Crafting,1 Mammoth Tusk 4 Leather Strips 3 Polished Ivory 3 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Greatsword (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,4 Leather Strips 1 Flawless Sabre Cat Tooth 1 Bonesap 3 Polished Ivory 3 Fragment: Ivory,Forage Skill Greater or Equal to 8
Ivory Heavy Bow (Crude),Player Crafting,1,Craftsmanship,Player Crafting,2 Wood 2 Leather 4 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Heavy Bow (Good),Player Crafting,1,Craftsmanship,Player Crafting,2 Wood 2 Leather 4 Polished Ivory 2 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Heavy Bow (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,2 Wood 2 Leather 4 Polished Ivory 2 Fragment: Ivory 1 Antler Paste,Forage Skill Greater or Equal to 8
Ivory Heavy Crossbow (Crude),Player Crafting,1,Craftsmanship,Player Crafting,2 Wood 2 Leather 4 Polished Ivory,"Forage Skill Greater or Equal to 2,Forage Skill Less than 4"
Ivory Heavy Crossbow (Good),Player Crafting,1,Craftsmanship,Player Crafting,2 Wood 2 Leather 4 Polished Ivory 2 Fragment: Ivory,"Forage Skill Greater or Equal to 5,Forage Skill Less than 8"
Ivory Heavy Crossbow (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,2 Wood 2 Leather 4 Polished Ivory 2 Fragment: Ivory 1 Antler Paste,Forage Skill Greater or Equal to 9
Ivory Mace (Crude),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 2 Leather Strips 4 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Mace (Good),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 2 Leather Strips 4 Polished Ivory 2 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Mace (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 2 Leather Strips 4 Polished Ivory 2 Fragment: Ivory 1 Antler Paste,Forage Skill Greater or Equal to 8
Ivory Ring,Player Crafting,2,,Player Crafting,1 Polished Ivory,Forage Skill Greater or Equal to 2
Ivory Shield (Crude),Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 6 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Shield (Good),Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 6 Polished Ivory 3 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Shield (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 6 Polished Ivory 3 Fragment: Ivory 1 Antler Paste,Forage Skill Greater or Equal to 8
Ivory Sword (Crude),Player Crafting,1,Craftsmanship,Player Crafting,1 Mammoth Tusk 2 Leather Strips 2 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Sword (Good),Player Crafting,1,Craftsmanship,Player Crafting,1 Mammoth Tusk 2 Leather Strips 2 Polished Ivory 2 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Sword (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 1 Bonesap 1 Mammoth Tusk (Superlative) 2 Polished Ivory 2 Fragment: Ivory,Forage Skill Greater or Equal to 8
Ivory Waraxe (Crude),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 1 Leather 3 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Waraxe (Good),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 1 Leather 3 Polished Ivory 2 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Waraxe (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,1 Wood 1 Leather 1 Bonesap 3 Polished Ivory 2 Fragment: Ivory,Forage Skill Greater or Equal to 8
Ivory Warhammer (Crude),Player Crafting,1,Craftsmanship,Player Crafting,1 Mammoth Tusk 1 Quarried Stone 4 Polished Ivory,"Forage Skill Greater or Equal to 1,Forage Skill Less than 4"
Ivory Warhammer (Good),Player Crafting,1,Craftsmanship,Player Crafting,1 Mammoth Tusk 1 Quarried Stone 4 Polished Ivory 4 Fragment: Ivory,"Forage Skill Greater or Equal to 4,Forage Skill Less than 8"
Ivory Warhammer (Superlative),Player Crafting,1,Craftsmanship,Player Crafting,1 Quarried Stone 1 Bonesap 4 Polished Ivory 4 Fragment: Ivory 1 Antler Paste,Forage Skill Greater or Equal to 8
Jagged Crown,Armor Table,1,Draconic Blacksmithing,Armor Table,1 Dragon Bone,
Jagged Crown Replica,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Dragon Bone,
Jagged Crown Replica,Forge,1,"Draconic Blacksmithing,Ebony Blacksmithing",Forge,1 Dragon Scales 2 Dragon Bone 1 Ingot: Ebony 1 Leather Strips 1 Leather,"Civil War - The Jagged Crown (Imperial Or Stormcloak) Complete,Civil War - The Jagged Crown (Imperial Or Stormcloak) Complete"
Jarl of Eastmarch Armguards,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Steel,
Jarl of Eastmarch Armguards,Forge,1,Craftsmanship,Forge,2 Ingot: Steel 2 Leather Strips 2 Leather: Dark,
Jarl of Eastmarch Armor,Forge,1,Craftsmanship,Forge,5 Ingot: Steel 4 Leather Strips 2 Leather: Dark 4 Fur Plate,
Jarl of Eastmarch Armor,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Ingot: Steel,
Jarl of Eastmarch Armor,Forge,1,Craftsmanship,Forge,1 Pelt: Cave Bear 5 Ingot: Steel 4 Leather Strips 2 Leather: Dark,
Jazbay Crostata,Oven,2,,Oven,10 Jazbay Grapes 1 Honey 1 Flour 1 Butter,
Jon's Heavy Crossbow,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Steel,
Jon's Twohander,Sharpening Wheel,1,Craftsmanship,Sharpening Wheel,1 Ingot: Iron,
Juniper Berry Crostata,Oven,2,,Oven,10 Juniper Berries 1 Honey 1 Flour 1 Butter,
Juniper Berry Mead,Brewing Barrel,2,,Brewing Barrel,2 Juniper Berries 1 Honey,
Juniper Tea,Cook pot,1,,Cook pot,3 Juniper Berries 1 Honeycomb 1 Glass Bottle (Water),
Kahvozein's Fang,Sharpening Wheel,1,Advanced Blacksmithing,Sharpening Wheel,1 Ingot: Steel,
Keening,Sharpening Wheel,1,Legendary Blacksmithing,Sharpening Wheel,1 Ingot: Dwarven,
Keening Replica,Forge,1,Dwarven Blacksmithing,Forge,1 Ingot: Quicksilver 1 Dwarven Gyro 1 Ingot: Dwarven,College - Arniels Endeavor  Complete
Keening Replica,Sharpening Wheel,1,Dwarven Blacksmithing,Sharpening Wheel,1 Ingot: Dwarven,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Ebony,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Orcish,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Silver,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Ancient Nordic Hero,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Steel,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Ancient Nordic,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Elven,
Kindling,Breakdown,10,,Breakdown,5 Wooden Battlestaff,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Dwarven,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Dark Brotherhood,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Steel,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Thieves Guild,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Ancient Nordic Hero,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Falmer,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Iron,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Dawnguard,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Elven,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Nordic,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Dwarven,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Glass,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Stormcloak,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Iron,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Glass,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Imperial,
Kindling,Breakdown,1,,Breakdown,1 Bolt: Orcish,
Kindling,Breakdown,2,,Breakdown,1 Wooden Fishing Rod,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Forsworn,
Kindling,Breakdown,1,,Breakdown,1 Arrow: Skyforge Steel,
Kindling,Breakdown,10,,Breakdown,1 Imperial Crossbow,
Kindling,Breakdown,6,,Breakdown,1 Wooden Lute,
Kindling,Breakdown,1,,Breakdown,1 Wooden Spigot,
Kindling,Breakdown,4,,Breakdown,1 Wooden Bellows,
Kindling,Breakdown,6,,Breakdown,1 Wooden Drum,
Kindling,Breakdown,3,,Breakdown,1 Wooden Heavy Bow,
Kindling,Breakdown,2,,Breakdown,1 Wooden Flute,
Kindling,Breakdown,4,,Breakdown,1 Wooden Roped Bucket,
Kindling,Smelter,5,,Smelter,1 Iron Woodcutter's Axe,
Kindling,Breakdown,3,,Breakdown,1 Wooden Light Bow,
Kindling,Breakdown,2,,Breakdown,1 Wooden Broom,
Kindling,Breakdown,2,,Breakdown,1 Wooden Torch,
Kindling,Breakdown,5,,Breakdown,1 Iron Pickaxe,
Kindling,Breakdown,4,,Breakdown,1 Wooden Well Bucket,
Kindling,Player Crafting,1,,Player Crafting,1 Branches,
Kindling,Player Crafting,2,,Player Crafting,1 Deadwood,
Kindling,Breakdown,4,,Breakdown,1 Wooden Pitchfork,
Kindling,Breakdown,1,,Breakdown,1 Wooden Ladle,
Kindling,Breakdown,1,,Breakdown,1 Wooden Plate,
Kindling,Breakdown,2,,Breakdown,1 Wooden Torch (Bright),
Kindling,Player Crafting,4,,Player Crafting,1 Wood,
Kindling,Breakdown,1,,Breakdown,1 Wooden Bowl,
Knucklebones (Strange Brew),Player Crafting,1,,Player Crafting,3 Fragment: Bone,"Brewing Skill Greater or Equal to 3,Forage Skill Greater or Equal to 3"
Konahrik's Hood,Forge,1,,Forge,1 Silk Thread 2 Silk Cloth - Purple 1 Silk Cloth - Yellow,
Krosis' Hood,Forge,1,,Forge,1 Silk Thread 3 Silk Cloth - Brown,
Lavender Honey Dumpling,Oven,2,,Oven,6 Lavender 1 Moon Sugar 1 Honey 1 Flour,
Lavender Tea,Cook pot,1,,Cook pot,2 Lavender 3 Purple Mountain Flower 1 Glass Bottle (Water),
Leather,Breakdown,2,,Breakdown,1 Leather Vagabond Cuirass,
Leather,Breakdown,1,,Breakdown,1 Mammoth Hide Gauntlets (Good),
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Vale Deer,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Sabre Cat (Poor),
Leather,Breakdown,1,,Breakdown,1 Mammoth Hide Gauntlets (Superlative),
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Wolf,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Snow Bear (Poor),
Leather,Breakdown,1,,Breakdown,1 Leather Backpack - White,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Vale Sabre Cat (Poor),
Leather,Breakdown,1,,Breakdown,1 Mammoth Hide Boots (Crude),
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Horse,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Deer,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Bear (Poor),
Leather,Breakdown,2,,Breakdown,1 Leather Doublet - Dark,
Leather,Breakdown,1,,Breakdown,1 Mammoth Hide Boots (Superlative),
Leather,Breakdown,2,,Breakdown,1 Hide Furred Vagabond Cuirass,
Leather,Breakdown,2,,Breakdown,1 Leather Rugged Cuirass - Dark,
Leather,Breakdown,2,,Breakdown,1 Hide Vagabond Robes - Dark,
Leather,Breakdown,2,,Breakdown,1 Hide Scrap Robes,
Leather,Breakdown,1,,Breakdown,1 Leather Backpack - Black,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Snowy Sabre Cat,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Boar,
Leather,Breakdown,2,,Breakdown,1 Leather Boiled Cuirass,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Cave Bear (Poor),
Leather,Breakdown,2,,Breakdown,1 Leather Doublet,
Leather,Breakdown,2,,Breakdown,1 Hide Tattered Cuirass,
Leather,Breakdown,2,,Breakdown,1 Hide Roughspun Tunic,
Leather,Breakdown,3,,Breakdown,1 Mammoth Hide Cuirass (Superlative),
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Cow,
Leather,Player Crafting,2,Craftsmanship,Player Crafting,1 Pelt: Cave Bear,
Leather,Breakdown,1,,Breakdown,1 Mammoth Hide Boots (Basic Level 4),
Leather,Breakdown,3,,Breakdown,1 Mammoth Hide Cuirass (Crude),
Leather,Breakdown,2,,Breakdown,1 Hide Vagabond Cuirass,
Leather,Breakdown,2,,Breakdown,1 Mammoth Hide Cuirass (Good),
Leather,Breakdown,2,,Breakdown,1 Hide Scrap Cuirass,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,2 Pelt: Skeever,
Leather,Breakdown,3,,Breakdown,1 Studded Furred Cuirass,
Leather,Breakdown,2,,Breakdown,1 Leather Rugged Cuirass - Pale,
Leather,Breakdown,2,,Breakdown,1 Hide Furred Cuirass,
Leather,Breakdown,1,,Breakdown,1 Mammoth Hide Gauntlets (Crude),
Leather,Breakdown,2,,Breakdown,1 Hide Vagabond Robes - Pale,
Leather,Player Crafting,2,Craftsmanship,Player Crafting,1 Pelt: Mammoth Section,
Leather,Player Crafting,2,Craftsmanship,Player Crafting,1 Pelt: Werewolf,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Elk,
Leather,Breakdown,1,,Breakdown,1 Mammoth Hide Gauntlets (Superlative),
Leather,Player Crafting,2,Craftsmanship,Player Crafting,1 Pelt: Snow Bear,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Ice Wolf,
Leather,Breakdown,1,,Breakdown,1 Mammoth Hide Boots (Good),
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Sabre Cat,
Leather,Breakdown,1,,Breakdown,1 Leather Backpack - Brown,
Leather,Breakdown,2,,Breakdown,1 Mammoth Hide Cuirass (Basic Level 4),
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Frost Troll (Poor),
Leather,Breakdown,2,,Breakdown,1 Hide Vagabond Robes - Dark,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Troll (Poor),
Leather,Player Crafting,2,Craftsmanship,Player Crafting,1 Pelt: Bear,
Leather,Player Crafting,2,Craftsmanship,Player Crafting,1 Pelt: Frost Troll,
Leather,Breakdown,2,,Breakdown,1 Hide Makeshift Cuirass,
Leather,Player Crafting,2,Craftsmanship,Player Crafting,1 Pelt: Troll,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Vale Sabre Cat,
Leather,Breakdown,1,,Breakdown,1 Alchemists Pouch,
Leather,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Goat,
Leather,Breakdown,2,,Breakdown,1 Hide Rugged Cuirass,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,2 Pelt: Skeever,
Leather,Tanning Rack,4,Craftsmanship,Tanning Rack,1 Pelt: Troll,
Leather,Tanning Rack,2,Craftsmanship,Tanning Rack,1 Pelt: Elk,
Leather,Tanning Rack,2,Craftsmanship,Tanning Rack,1 Pelt: Cave Bear (Poor),
Leather,Tanning Rack,3,Craftsmanship,Tanning Rack,1 Pelt: Sabre Cat,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Vale Sabre Cat (Poor),
Leather,Tanning Rack,2,Craftsmanship,Tanning Rack,1 Pelt: Vale Deer,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Goat,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Troll (Poor),
Leather,Tanning Rack,2,Craftsmanship,Tanning Rack,1 Pelt: Deer,
Leather,Tanning Rack,4,Craftsmanship,Tanning Rack,1 Pelt: Bear,
Leather,Tanning Rack,4,Craftsmanship,Tanning Rack,1 Pelt: Cave Bear,
Leather,Tanning Rack,3,Craftsmanship,Tanning Rack,1 Pelt: Boar,
Leather,Tanning Rack,3,Craftsmanship,Tanning Rack,1 Pelt: Snowy Sabre Cat,
Leather,Tanning Rack,3,Craftsmanship,Tanning Rack,1 Pelt: Cow,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Wolf,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Ice Wolf,
Leather,Tanning Rack,4,Craftsmanship,Tanning Rack,1 Pelt: Snow Bear,
Leather,Tanning Rack,4,Craftsmanship,Tanning Rack,1 Pelt: Frost Troll,
Leather,Tanning Rack,3,Craftsmanship,Tanning Rack,1 Pelt: Vale Sabre Cat,
Leather,Tanning Rack,3,Craftsmanship,Tanning Rack,1 Pelt: Horse,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Sabre Cat (Poor),
Leather,Tanning Rack,4,Craftsmanship,Tanning Rack,1 Pelt: Mammoth Section,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Frost Troll (Poor),
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Bear (Poor),
Leather,Tanning Rack,4,Craftsmanship,Tanning Rack,1 Pelt: Werewolf,
Leather,Tanning Rack,1,Craftsmanship,Tanning Rack,1 Pelt: Snow Bear (Poor),
Leather Backpack - Black,Player Crafting,1,Craftsmanship,Player Crafting,4 Leather Strips 4 Hide Lace 2 Fur Plate,
Leather Backpack - Brown,Player Crafting,1,Craftsmanship,Player Crafting,4 Leather Strips 4 Hide Lace 2 Fur Plate,
Leather Backpack - White,Player Crafting,1,Craftsmanship,Player Crafting,4 Leather Strips 4 Hide Lace 2 Fur Plate,
Leather Bearskin Hood - Black,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - Black,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - Black,
Leather Bearskin Hood - Brown,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - Brown,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - Brown,
Leather Bearskin Hood - Ornate Black,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - Ornate Black,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - Ornate Black,
Leather Bearskin Hood - Ornate Brown,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - Ornate Brown,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - Ornate Brown,
Leather Bearskin Hood - Ornate White,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - Ornate White,
Leather Bearskin Hood - Ornate White,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - Trimmed Black,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - Trimmed Black,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - Trimmed Black,
Leather Bearskin Hood - Trimmed Brown,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - Trimmed Brown,
Leather Bearskin Hood - Trimmed Brown,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - Trimmed White,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - Trimmed White,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - Trimmed White,
Leather Bearskin Hood - White,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bearskin Hood - White,Player Crafting,1,Craftsmanship,Player Crafting,1 Leather Helmet 1 Bearskin Hood - White,
Leather Boots,Player Crafting,1,Craftsmanship,Player Crafting,3 Leather Strips 4 Leather,
Leather Boots,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Bracers,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 2 Leather,
Leather Bracers,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Clothes - Black,Player Crafting,1,Craftsmanship,Player Crafting,3 Leather 2 Linen Cloth - Black 4 Linen Thread,
Leather Clothes - Black and Brown,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather 2 Linen Cloth - Black 1 Linen Cloth - Brown 4 Linen Thread,
Leather Cuirass,Armor Table,1,Craftsmanship,Armor Table,1 Leather,
Leather Cuirass,Forge,1,Craftsmanship,Forge,1 Ingot: Iron 5 Leather Strips 6 Leather,
Leather Doublet,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather 2 Linen Cloth - Brown 4 Linen Thread,
Leather Doublet - Dark,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather 3 Linen Cloth - Black 4 Linen Thread,
Leather Executioner's Boots,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Leather: Dark,
Leather Executioner's Boots,Player Crafting,1,Craftsmanship,Player Crafting,1 Pelt: Ice Wolf 3 Leather Strips,
Leather Executioner's Boots,Player Crafting,1,Craftsmanship,Player Crafting,3 Leather Strips 1 Fur Plate,
Leather Executioner's Cuirass,Forge,1,Craftsmanship,Forge,1 Ingot: Steel 5 Leather Strips 6 Leather: Dark 2 Fur Plate,
Leather Executioner's Cuirass,Forge,1,Craftsmanship,Forge,1 Pelt: Ice Wolf 1 Ingot: Steel 5 Leather Strips 6 Leather: Dark,
Leather Executioner's Cuirass,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Leather: Dark,
Leather Executioner's Gloves,Forge,1,Craftsmanship,Forge,1 Pelt: Ice Wolf 1 Ingot: Steel 2 Leather Strips 2 Leather: Dark,
Leather Executioner's Gloves,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Leather: Dark,
Leather Executioner's Gloves,Forge,1,Craftsmanship,Forge,1 Ingot: Steel 2 Leather Strips 2 Leather: Dark 1 Fur Plate,
Leather Executioner's Hood,Player Crafting,1,Craftsmanship,Player Crafting,2 Leather Strips 2 Leather: Dark,
Leather Executioner's Hood,Armor Table,1,Advanced Blacksmithing,Armor Table,1 Leather: Dark,
Leather Helmet,Breakdown,1,,Breakdown,1 Leather Bearskin Hood - Black,
Leather Helmet,Breakdown,1,,Breakdown,1 Leather Wolfskin Hood - Light Trimmed White,
Leather Helmet,Breakdown,1,,Breakdown,1 Leather Wolfskin Hood - Black,
